candidate_id,model_name,model_family,paper_title,year,first_author,doi,paper_url,code_url,checkpoint_url,model_card_url,license,access_status,generative_or_not,generation_direction,base_architecture,molecular_representation,tokenizer_type,reported_parameter_count,reported_pretraining_corpus,estimated_pretraining_scale,fine_tuning_support,conditional_generation_support,known_target_conditioning_support,reported_max_sequence_length,released_checkpoint_context_length,configurable_context_length,evidence_for_512_tokens,long_smiles_handling,likely_saponin_compatibility_at_512,long_sequence_risk,preserves_isomeric_smiles,tetrahedral_stereo_support,ez_stereo_support,sugar_stereo_support,stereochemistry_removed_in_preprocessing,stereochemistry_validation_method,stereo_related_failure_modes,stereo_suitability_rating,natural_product_pretraining,triterpenoid_relevance,glycoside_relevance,likely_aglycone_learning,likely_sugar_linkage_learning,need_for_saponin_specific_finetuning,saponin_suitability_rating,code_reproducibility_rating,checkpoint_availability_rating,data_license_clarity,hardware_requirement,compatibility_with_existing_project,implementation_complexity,expected_risk,final_status,exact_quote_or_precise_paraphrase,evidence_location,source_type,source_url,access_date,confidence,notes_and_caveats
C01,REINVENT4 - Reinvent (de novo RNN generator),REINVENT,REINVENT 4: Modern AI-driven generative molecule design,2024,"Loeffler, H.H. et al.",NEEDS_LOCAL_VERIFICATION,https://link.springer.com/article/10.1186/s13321-024-00812-5 (EGRESS_BLOCKED this session),https://github.com/MolecularAI/REINVENT4,Zenodo (linked from README; zenodo.org EGRESS_BLOCKED this session),NOT_FOUND,Apache-2.0 (per repo topic tags observed via WebSearch; NEEDS_LOCAL_VERIFICATION against LICENSE file),OPEN_CODE; paper PAYWALLED_OR_BLOCKED_NO_LEGAL_FULLTEXT_READ_THIS_SESSION,yes,"autoregressive (RNN) + encoder-decoder (transformer, see Mol2Mol C02)",Multi-layer GRU RNN (SMILES LM); REINVENT4 unifies this with transformer generators in one framework,SMILES (canonical/randomized per config),"character/regex SMILES tokenizer (RDKit-based, INFERRED_FROM_CODE)",NOT_REPORTED,"PubChem-derived prior ('reinvent_pubchem.prior', per this repo's own priors/README.md)",millions of PubChem SMILES (exact N not verified this session),"yes - core 'transfer_learning' run_type, this repo's primary workflow","limited for Reinvent generator (mainly via RL scoring, not built-in conditioning)","via reinforcement learning scoring functions, not native token-level conditioning",NOT_REPORTED,NOT_REPORTED,NEEDS_LOCAL_VERIFICATION,none found this session,NOT_REPORTED,UNKNOWN - not benchmarked on long saponin SMILES; this repo's own 46k saponin TL run used it successfully with default configs (see reports/46k_prior_epoch_comparison.md),RNNs degrade gracefully but lose long-range fidelity on very long SMILES vs short ones; no hard token ceiling reported,configurable via 'isomeric_smiles' sampling parameter (confirmed INFERRED_FROM_CODE: this repo's own configs/sampling/sampling_tl_epoch4.toml sets isomeric_smiles=false),representation-level only (RNN emits @/@@ tokens like any character); not learned via an explicit stereo objective,"representation-level only (/, \ tokens)",representation-level only; not evaluated for saponins in the literature found,"NO by default in this project's own configs (isomeric_smiles=false in sampling means OUTPUT is de-isomerized for reporting, but training data in data/*.smi should be checked - NEEDS_LOCAL_VERIFICATION)",none built in; must be added downstream via RDKit,"can emit syntactically valid but chemically nonsensical stereo (e.g. stereocenters on non-stereogenic atoms) - not specific evidence found this session, general SMILES-LM risk","medium (representation supports it, no dedicated validation/training signal)","no (base prior is PubChem, general chemical space)",HIGH for this project specifically - this repo's own 46k-molecule TL run IS a triterpenoid saponin fine-tune of this generator,"inherited only through this project's own fine-tuning data, not from the base prior","yes, demonstrated by this repo's own epoch-comparison report (reports/46k_prior_epoch_comparison.md: NumRings~5, FracSp3~0.84 matching pentacyclic triterpenoid cores)",not separately evaluated in this repo's existing reports (no sugar-count/glycosidic-linkage metric currently computed),already in progress in this repository,HIGH (already validated in-repo),"high (actively maintained MolecularAI repo, this project already depends on it)","high (4 project-trained epoch checkpoints already in priors/, plus public PubChem prior on Zenodo)",Apache-2.0 code; PubChem prior license NEEDS_LOCAL_VERIFICATION,CPU-feasible for TL at this scale per this repo's own reports (~6-7 min/10k samples on CPU),COMPLETE - this IS the project's current pipeline,none additional (already implemented),"low for continuing current line; risk is in stereochemistry/glycosylation fidelity, not integration",PRIMARY_CANDIDATE (retain as main line),This repository's own priors/README.md: 'Four epoch checkpoints (23 MB each) from the 46k 4-epoch x 4-block regularized transfer learning pipeline... Use these with REINVENT4's sampling or as starting points for RL (DAP).',"priors/README.md, reports/46k_prior_epoch_comparison.md, configs/tl/tl_46k_reg.toml (this repository)",primary_repo_artifact,https://github.com/MolecularAI/REINVENT4,2026-08-18,high,"Paper full text blocked by network egress policy this session; architecture/parameter claims for the Reinvent RNN specifically (vs Mol2Mol transformer) are best-effort from WebSearch synthesis, not verified against source code line-by-line this session."
C02,"REINVENT4 - Mol2Mol (transformer, similarity-conditioned)",REINVENT,REINVENT 4: Modern AI-driven generative molecule design,2024,"Loeffler, H.H. et al.",NEEDS_LOCAL_VERIFICATION,https://link.springer.com/article/10.1186/s13321-024-00812-5 (EGRESS_BLOCKED this session),https://github.com/MolecularAI/REINVENT4/tree/main/reinvent/models/transformer/mol2mol,Zenodo (blocked this session),NOT_FOUND,Apache-2.0 (NEEDS_LOCAL_VERIFICATION),OPEN_CODE; paper blocked,yes,"encoder-decoder (transformer, seq2seq analogue generation)",Transformer encoder-decoder,SMILES pairs (input molecule -> similar output molecule),SMILES tokenizer (INFERRED_FROM_CODE),NOT_REPORTED,"WebSearch synthesis: 'prior was trained on over 200 billion pairs from PubChem for which their Tanimoto similarity, calculated with ECFP4 count fingerprints, was >= 0.50' (paraphrase of a secondary summary, not independently verified against primary paper this session)",>200 billion molecule PAIRS (per above secondary source),yes,yes - natively conditioned on an input seed molecule + similarity threshold,"via seed-molecule analogue generation, not explicit protein-target conditioning",NOT_REPORTED,NOT_REPORTED,NEEDS_LOCAL_VERIFICATION,none found this session,NOT_REPORTED,UNKNOWN - not benchmarked on saponins,transformer self-attention cost grows quadratically with sequence length; large saponins may be more expensive per-sample than for the RNN generator (C01),NEEDS_LOCAL_VERIFICATION,representation-level only,representation-level only,not evaluated,NEEDS_LOCAL_VERIFICATION,none built in,NOT_REPORTED,medium (same representation ceiling as C01),no (PubChem-derived pairs),"low-medium (usable as an analogue generator around this project's own generated saponins for local chemical-space exploration, not yet used in this repo)",untested,untested for this project,untested,would need saponin-similarity pairs constructed from this project's own 46k dataset,"medium (interesting for lead-optimization module, not core generator)",high (same repo as C01),medium (public prior exists but not yet used in this project),NEEDS_LOCAL_VERIFICATION,higher than RNN for equivalent throughput (transformer),high (same framework already installed for C01),low-medium (requires building similarity-pair training data),low-medium,RUNNER_UP,"WebSearch-derived paraphrase: Mol2Mol 'performs conditional generation, accepting input SMILES strings and generating structurally similar molecules within user-defined similarity constraints.'",WebSearch synthesis of REINVENT4 documentation/paper,search_engine_synthesis,https://github.com/MolecularAI/REINVENT4,2026-08-18,medium,Best positioned as the project's future 'lead optimization platform' module (module 5 in project scope) rather than the primary de novo generator.
C03,REINVENT (v1) - Molecular De-Novo Design through Deep RL,REINVENT,Molecular de-novo design through deep reinforcement learning,2017,"Olivecrona, M.",NEEDS_LOCAL_VERIFICATION,https://arxiv.org/abs/1704.07555 (EGRESS_BLOCKED this session); https://pubmed.ncbi.nlm.nih.gov/29086083/,https://github.com/MarcusOlivecrona/REINVENT,NOT_FOUND,NOT_FOUND,NEEDS_LOCAL_VERIFICATION,paper is OPEN_ACCESS (arXiv + J Cheminform) but EGRESS_BLOCKED_THIS_SESSION; code open on GitHub,yes,autoregressive (RNN),GRU-based RNN prior + RL agent copy,SMILES,character-level SMILES vocabulary (INFERRED_FROM_CODE),NOT_REPORTED,"ChEMBL-derived drug-like SMILES (WebSearch paraphrase, not independently verified this session)",NOT_REPORTED,foundational method for augmented-likelihood RL fine-tuning of a prior,"via scoring-function-guided RL, not native token conditioning",demonstrated for Celecoxib analogue generation and sulphur-avoidance tasks (WebSearch paraphrase),NOT_REPORTED,NOT_REPORTED,NEEDS_LOCAL_VERIFICATION,none found,NOT_REPORTED,NOT_REPORTED,predates any long-SMILES-specific analysis found this session,NEEDS_LOCAL_VERIFICATION,representation-level only,representation-level only,not evaluated,NEEDS_LOCAL_VERIFICATION,none built in,NOT_REPORTED,medium,no,foundational only (conceptual ancestor of REINVENT4/this project's pipeline),none,NOT_REPORTED,NOT_REPORTED,superseded by REINVENT4 (C01) for this project,"low (historical/foundational, not the maintained codebase)",medium (unmaintained legacy repo vs actively maintained REINVENT4),low,NEEDS_LOCAL_VERIFICATION,low (small RNN),superseded by REINVENT4 already in use,n/a (not recommended over C01),n/a,NOT_RECOMMENDED,WebSearch paraphrase: 'a method to tune a sequence-based generative model for molecular de novo design that through augmented episodic likelihood can learn to generate structures with certain specified desirable properties.',WebSearch synthesis,search_engine_synthesis,https://arxiv.org/abs/1704.07555,2026-08-18,medium,"Included for completeness/lineage; REINVENT4 (C01) is the direct, maintained successor already adopted by this project. Not recommended as a fresh starting point."
C04,Focused-library RNN (Segler et al.),RNN transfer-learning (pre-REINVENT lineage),Generating focused molecule libraries for drug discovery with recurrent neural networks,2018,"Segler, M.H.S.",NEEDS_LOCAL_VERIFICATION,https://arxiv.org/abs/1701.01329 (EGRESS_BLOCKED this session); https://pubmed.ncbi.nlm.nih.gov/29392184/,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_REPORTED,paper OPEN via arXiv preprint but EGRESS_BLOCKED_THIS_SESSION,yes,"autoregressive (RNN, LSTM-style language model)",stacked LSTM SMILES LM,SMILES,character-level (WebSearch paraphrase),NOT_REPORTED,"large general SMILES corpus, then fine-tuned on small target-specific sets (WebSearch paraphrase)",NOT_REPORTED,THE foundational demonstration of prior-then-fine-tune for focused chemical libraries; direct conceptual basis for this project's tl_46k_reg.toml workflow,"no (fine-tuning-only conditioning, no token-level conditioning)",fine-tuned on S. aureus and P. falciparum actives (WebSearch paraphrase: reproduced 14% and 28% of held-out actives respectively),NOT_REPORTED,NOT_FOUND,NOT_REPORTED,none found,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NEEDS_LOCAL_VERIFICATION,representation-level only,representation-level only,not evaluated,NEEDS_LOCAL_VERIFICATION,none built in,NOT_REPORTED,medium,no,"conceptual only (method, not a checkpoint)",none,NOT_REPORTED,NOT_REPORTED,method already implemented via REINVENT4 in this project,low (no released model/code found this session; historical methodology reference),low (no code URL found this session),none found,NOT_REPORTED,NOT_REPORTED,conceptual precedent only,NOT_REPORTED,NOT_REPORTED,NOT_RECOMMENDED,WebSearch paraphrase: 'the authors proposed to fine-tune the model with small sets of molecules which are known to be active against that target.',WebSearch synthesis,search_engine_synthesis,https://arxiv.org/abs/1701.01329,2026-08-18,medium,"Historically important as the methodological ancestor of this project's own regularized-TL approach; no checkpoint to fine-tune directly, so not actionable as a candidate."
C05,Low-data generative transfer learning (Moret/Grisoni/Schneider),RNN transfer-learning (natural-product transfer),Generative molecular design in low data regimes,2020,"Moret, M.",NEEDS_LOCAL_VERIFICATION,https://www.nature.com/articles/s42256-020-0160-y (EGRESS_BLOCKED this session),https://github.com/ETHmodlab/virtual_libraries,NOT_FOUND,NOT_FOUND,NEEDS_LOCAL_VERIFICATION,code OPEN on GitHub; paper PAYWALLED_OR_BLOCKED_NO_LEGAL_FULLTEXT_READ_THIS_SESSION,yes,autoregressive (RNN),LSTM SMILES LM (WebSearch paraphrase),SMILES with data-augmentation via multiple representations of the same molecule,character-level (WebSearch paraphrase),NOT_REPORTED,ChEMBL24 (source space),NOT_REPORTED,core contribution: transfer learning from ChEMBL24 to MEGx natural-product space in a LOW-DATA regime,no,"natural-product-space transfer, directly analogous to this project's saponin-focused transfer",NOT_REPORTED,NOT_FOUND,NOT_REPORTED,none found,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NEEDS_LOCAL_VERIFICATION,representation-level only,representation-level only,not evaluated,NEEDS_LOCAL_VERIFICATION,none built in,NOT_REPORTED,medium,"target-space is MEGx natural products (transferred INTO, not pretrained ON)","medium (methodology directly relevant: source-to-target chemical space transfer under data scarcity, same problem shape as PubChem->saponin)",not specific to glycosides,NOT_REPORTED,NOT_REPORTED,method transferable; no ready checkpoint found this session,"medium (strong methodological reference, not a plug-in checkpoint)","medium (repo exists, age/maintenance NEEDS_LOCAL_VERIFICATION)",NEEDS_LOCAL_VERIFICATION,NEEDS_LOCAL_VERIFICATION,"low (small RNN, as used circa 2020)",methodologically compatible (same TL pattern this project already uses),low if reused only as a methodological reference,low,RUNNER_UP,WebSearch paraphrase: demonstrated 'transfer learning by tracking how generated molecules evolved during transfer learning with respect to the source space (ChEMBL24) and target space (MEGx natural products)' using 'data augmentation by using multiple representations of the same entity.',WebSearch synthesis,search_engine_synthesis,https://www.nature.com/articles/s42256-020-0160-y,2026-08-18,medium,"Strongest EVIDENCE that PubChem/ChEMBL-to-natural-product transfer learning works in low-data regimes, directly validating this project's overall strategy, even though it does not target saponins specifically."
C06,NPGPT,Natural-product GPT fine-tune,NPGPT: Natural Product-Like Compound Generation with GPT-based Chemical Language Models,2024/2025,"Sakano, K.",NEEDS_LOCAL_VERIFICATION,https://arxiv.org/abs/2411.12886 (EGRESS_BLOCKED this session),https://github.com/ohuelab/npgpt,Google Drive links referenced in repo README (per WebFetch of raw README this session),NOT_FOUND,NOT_REPORTED (README fetched this session did not state a license),OPEN_CODE (README directly read via WebFetch this session); paper blocked,yes,autoregressive (decoder-only causal LM),Two variants: fine-tuned from smiles-gpt (GPT-2 style) and fine-tuned from ChemGPT (GPT-Neo/SELFIES),SMILES (smiles-gpt variant) or SELFIES (ChemGPT variant) - not explicitly stated as isomeric/canonical/randomized in README read this session,"inherits parent model's tokenizer (BPE-style for smiles-gpt, SELFIES tokens for ChemGPT variant)",inherits parent sizes (see C09/C10),"COCONUT natural product library, converted to SMILES","COCONUT ~400K+ natural products (per related '67M' paper's stated COCONUT baseline, see C15)",yes - this IS a fine-tune of C09/C10 onto COCONUT,NOT_REPORTED,no,NOT_REPORTED (not stated in README read this session),"inherits parent (GPT-2 default 1024 for smiles-gpt variant, NEEDS_LOCAL_VERIFICATION)",NEEDS_LOCAL_VERIFICATION,none found this session,NOT_REPORTED,"UNKNOWN - COCONUT includes many large/complex NPs including saponins, so training DISTRIBUTION likely includes some long molecules, but no explicit length analysis found","unassessed this session; would need direct inspection of tokenizer + max_position_embeddings, which requires cloning the repo (out of scope: no training/cloning performed per task constraints)",NOT_STATED in README read this session,"representation-dependent, unconfirmed","representation-dependent, unconfirmed",unconfirmed,NOT_REPORTED (README gave no preprocessing detail),none reported,NOT_REPORTED,low-medium (unverified; closest thing to a natural-product generator but stereochemistry pipeline undocumented),YES - explicitly fine-tuned on COCONUT natural products,medium (COCONUT contains triterpenoids among many other NP classes; no triterpenoid-specific evaluation found),medium (COCONUT contains glycosides; no glycoside-specific evaluation found),plausible but unverified,plausible but unverified,"still required - NPGPT targets all of COCONUT, not saponins specifically",medium (closest 'natural product generator' identified; would need saponin-specific further fine-tuning + stereo audit),medium (GitHub repo + Colab notebook exist per WebSearch; not independently run this session),"medium (Google Drive links, not a standard model hub - less durable than HuggingFace)",COCONUT license NEEDS_LOCAL_VERIFICATION,depends on parent model size (4.7M-1.2B params if ChemGPT variant),"medium - different framework (HuggingFace transformers) than this project's current REINVENT4 pipeline; would be a parallel/alternative line, not a drop-in replacement","medium (new training/inference stack, new tokenizer, new eval harness needed)",medium (unverified stereochemistry handling; Google Drive checkpoint durability; no license confirmed),RUNNER_UP,"Repository README (fetched via raw.githubusercontent.com this session): 'Fine-tuned models trained on the COCONUT dataset are available, with two models fine-tuned from two different pre-trained models: smiles-gpt and ChemGPT.'",https://github.com/ohuelab/npgpt README.md,primary_repo_readme_fetched,https://github.com/ohuelab/npgpt,2026-08-18,high,"Already explicitly named as 'under consideration' in the current project scope. This is the single closest published candidate to a natural-product generator, but is NOT saponin-specific and has undocumented stereochemistry handling - both must be verified locally (clone + inspect) before adoption, which was out of scope for this cloud-only research session."
C07,LSTM COCONUT-trained NP-like generator ('67M' library),Natural-product RNN generator,67 million natural product-like compound database generated via molecular language processing,2023,"Chen et al. (A*STAR; WebSearch attribution, NEEDS_LOCAL_VERIFICATION for exact author list)",NEEDS_LOCAL_VERIFICATION,https://www.nature.com/articles/s41597-023-02207-x (EGRESS_BLOCKED this session),NOT_FOUND this session,"NOT_FOUND this session (67M-compound OUTPUT library referenced, not necessarily the trained model weights)",NOT_FOUND,NOT_REPORTED,paper OPEN_ACCESS (Scientific Data) but EGRESS_BLOCKED_THIS_SESSION; no code/checkpoint URL located,yes,autoregressive (RNN/LSTM),SMILES-based LSTM,SMILES with STEREOCHEMISTRY EXPLICITLY REMOVED before training,character/token-level SMILES vocabulary (WebSearch paraphrase),NOT_REPORTED,"325,535 SMILES (80% of 406,919 known natural products in COCONUT at time of study)",~326K training molecules -> 100M generated -> 67M retained as NP-like,NOT_REPORTED,no,no,NOT_REPORTED,NOT_FOUND,NOT_REPORTED,none found,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NO,EXPLICITLY REMOVED,EXPLICITLY REMOVED,EXPLICITLY REMOVED (anomeric configuration destroyed),"YES, confirmed by WebSearch paraphrase: 'An LSTM model was trained on tokenized SMILES (with stereochemistry removed) from 325,535... known natural products in COCONUT.'",n/a - stereochemistry not modeled at all,total loss of stereochemical fidelity by construction; NOT usable as-is for a stereo-faithful saponin generator,LOW (disqualifying for this project's stereochemistry requirement without a full stereo-reintroducing retrain),YES (COCONUT),medium (COCONUT includes triterpenoids),"medium (COCONUT includes glycosides), but connectivity-only since stereo is stripped",plausible for gross scaffold/connectivity,"plausible for connectivity only, NOT anomeric stereochemistry","yes, plus a full retrain on isomeric SMILES since stereochemistry was never modeled","low (valuable as a scale/methodology precedent and as a negative example for stereochemistry policy, not as a starting checkpoint)",low (no code URL found this session),low (no checkpoint URL found this session; only the generated compound library is described as distributed),NOT_REPORTED,NOT_REPORTED,low as a checkpoint; useful only as literature precedent,NOT_REPORTED,high if mistakenly treated as stereo-capable,NOT_RECOMMENDED,"WebSearch paraphrase: 'SMILES-based LSTM generated 95.9% valid molecular structures, a significant improvement over VAE (87.0%) and GAN (37.9%) based architectures' and training used SMILES 'with stereochemistry removed'.",WebSearch synthesis,search_engine_synthesis,https://www.nature.com/articles/s41597-023-02207-x,2026-08-18,medium,IMPORTANT CAUTIONARY EXAMPLE for section 7 (stereochemistry review): this is exactly the failure mode the project must avoid - a natural-product generator trained without stereochemistry cannot produce stereochemically faithful saponins regardless of scale (67M compounds).
C08,NaFM (Natural product Foundation Model),Natural-product graph foundation model,Pretraining a Foundation Model for Small-Molecule Natural Products / Learning the chemical language of natural products,2026 (arXiv preprint 2025-03; journal version 2026),"Ding et al. (preprint); Guo, Rava, Walker (Nat Mach Intell version - possibly a distinct/related paper, NEEDS_LOCAL_VERIFICATION to confirm if same work)",NEEDS_LOCAL_VERIFICATION,https://arxiv.org/abs/2503.17656 (EGRESS_BLOCKED this session); https://www.nature.com/articles/s42256-026-01241-9 (EGRESS_BLOCKED this session),NOT_FOUND this session,NOT_FOUND this session,NOT_FOUND,NOT_REPORTED,PAYWALLED_NO_LEGAL_FULLTEXT_FOUND for Nature Machine Intelligence version this session; arXiv preprint version likely open but EGRESS_BLOCKED_THIS_SESSION,"AMBIGUOUS - described via WebSearch synthesis as combining 'masked learning and contrastive learning' (BERT-style representation pretraining), not confirmed as an autoregressive GENERATOR","unclear - likely encoder/representation model, NOT confirmed generative",graph neural network (masked graph learning + contrastive learning per WebSearch paraphrase),molecular graph,n/a (graph-based),NOT_REPORTED,~0.6 million natural product structures from COCONUT,~600K structures,described as a foundation model for 'downstream applications in natural product mining',NOT_REPORTED,NOT_REPORTED,"n/a (graph, not sequence)",n/a,n/a,n/a (not a sequence model),n/a,n/a (different representation paradigm),"n/a for token-length; graph size (atom count) is the analogous constraint, not assessed this session",n/a (graph representation; whether stereo bond/atom labels are included is UNCONFIRMED),NEEDS_LOCAL_VERIFICATION,NEEDS_LOCAL_VERIFICATION,NEEDS_LOCAL_VERIFICATION,NEEDS_LOCAL_VERIFICATION,NOT_REPORTED,NOT_REPORTED,UNKNOWN (insufficient evidence this session),YES (COCONUT),plausible (COCONUT includes triterpenoids) but not confirmed,"plausible, not confirmed",NEEDS_LOCAL_VERIFICATION,NEEDS_LOCAL_VERIFICATION,NEEDS_LOCAL_VERIFICATION,"UNKNOWN - most importantly, GENERATIVE CAPABILITY ITSELF IS UNCONFIRMED this session",unknown (no code URL found this session),unknown (no checkpoint URL found),NOT_REPORTED,NOT_REPORTED,low (different representation paradigm than this project's SMILES-based pipeline),high if pursued (new graph-modeling stack),high uncertainty - do not rely on this candidate without direct verification,FUTURE_WORK,WebSearch paraphrase only (no primary text read): 'NaFM is a novel foundation model designed specifically for small-molecule natural products. It integrates masked learning and contrastive learning to capture both scaffold-centered and side-chain information.',WebSearch synthesis of arXiv/journal abstracts,search_engine_synthesis,https://arxiv.org/abs/2503.17656,2026-08-18,low,"Flagged FUTURE_WORK specifically because this session could not confirm (a) generative capability, (b) code/checkpoint availability, or (c) stereochemistry handling. Do not treat as a generation candidate until locally verified."
C09,smiles-gpt,Generic SMILES causal LM,(no formal paper found this session; repository describes itself as 'Generative Pre-Training from Molecules'),"2021-2022 (repo era, exact date NOT_REPORTED)","Adilov, S. (GitHub: sanjaradylov)",NOT_FOUND,NOT_FOUND,https://github.com/sanjaradylov/smiles-gpt,checkpoints/benchmark-5m referenced in repo (per README fetched this session),NOT_FOUND,NOT_STATED in README fetched this session,OPEN_CODE (README directly read via WebFetch this session),yes,autoregressive (decoder-only causal LM),GPT-2 (via HuggingFace GPT2LMHeadModel/GPT2Config),SMILES,"HuggingFace PreTrainedTokenizerFast (BPE-style, INFERRED_FROM_CODE per README structure)","NOT_STATED in fetched README (repo checkpoint named 'benchmark-5m' suggests ~5M scale, INFERRED_FROM_CODE, NEEDS_LOCAL_VERIFICATION)",10M PubChem SMILES (per README: 'pretrains GPT-2 on 10M PubChem SMILES data'); a 10K subset of ChemBERTa's PubChem-10M is bundled for the demo notebook,10 million SMILES,"yes (this is exactly what NPGPT, C06, does to it)",no native conditioning reported,no,NOT_STATED in fetched README,GPT-2 default n_positions is 1024 unless overridden; NOT independently confirmed for this checkpoint (NEEDS_LOCAL_VERIFICATION),yes (GPT2Config.n_positions is a standard configurable field),none found - no explicit 512 mention in README,NOT_STATED,"plausible if n_positions=1024 default holds, but UNCONFIRMED without cloning the checkpoint config",GPT-2 architecture; extending beyond its trained n_positions requires positional-embedding reinitialization/interpolation (see 05_long_context_512_review.md),NOT_STATED in README,"representation-level only, unconfirmed for this checkpoint's training data","representation-level only, unconfirmed",unconfirmed,NOT_STATED in README (no preprocessing script inspected this session),none reported,NOT_REPORTED,UNKNOWN (undocumented this session),no (PubChem general chemical space),none directly (general-purpose prior only),none directly,only via further fine-tuning (as NPGPT/C06 does),only via further fine-tuning,"yes, substantial (two-stage: NP adaptation, then saponin)","medium (viable base checkpoint for a from-scratch causal-LM line, matches project's stated 'SMILES-GPT direction')",medium (small maintained-by-individual repo; not an organization-backed release),"medium (in-repo checkpoint referenced, not on a standard model hub per this session's findings)",NOT_STATED,"low (5-10M parameter scale, plausibly CPU/single-GPU feasible)",HIGH - matches the project's already-stated 'SMILES-GPT / causal language-model direction',medium (new HuggingFace-based training/inference stack alongside existing REINVENT4 pipeline),"medium (undocumented stereochemistry pipeline, single-maintainer repo, unverified context length)",PRIMARY_CANDIDATE (as the base checkpoint for the project's declared SMILES-GPT direction),Repository README (fetched via raw.githubusercontent.com this session): 'a notebook that pretrains GPT-2 on 10M PubChem SMILES data.',https://github.com/sanjaradylov/smiles-gpt README.md,primary_repo_readme_fetched,https://github.com/sanjaradylov/smiles-gpt,2026-08-18,high,"Directly relevant since the project's own stated status is 'already uses a SMILES-GPT / causal language-model direction.' Context length, tokenizer stereochemistry handling, and license all need local verification (clone + inspect config.json) before committing further engineering effort - none of this could be done from this cloud research session per task constraints."
C10,ChemGPT (4.7M / 19M / 1.2B),Generic SELFIES causal LM,Neural scaling of deep chemical models,2023,"Frey, N.C.",NEEDS_LOCAL_VERIFICATION,https://www.nature.com/articles/s42256-023-00740-3 (EGRESS_BLOCKED this session); chemrxiv preprint also blocked this session,NOT_FOUND (molgen training repo URL not independently confirmed this session),"https://huggingface.co/ncfrey/ChemGPT-4.7M, ChemGPT-19M, ChemGPT-1.2B (URLs found via WebSearch; huggingface.co itself is EGRESS_BLOCKED this session so README not directly read)","https://huggingface.co/ncfrey/ChemGPT-4.7M/blob/main/README.md (URL found, NOT fetched this session - blocked)",NOT_VERIFIED this session (HuggingFace blocked),"checkpoints appear OPEN on HuggingFace per WebSearch, but EGRESS_BLOCKED_THIS_SESSION prevented direct confirmation",yes,autoregressive (GPT-Neo decoder-only),GPT-Neo,SELFIES (100%-valid-by-construction string representation),SELFIES tokenizer (per WebSearch: 'SMILES strings from PubChem... converted to SELFIES using version 1.0.4 of the SELFIES library'),4.7M / 19M / 1.2B (three released sizes),PubChem10M (via DeepChem),up to 10 million molecules / ~300 million tokens,explicitly 'intended to be used for investigations of the effects of pre-training and fine-tuning on downstream datasets' (WebSearch paraphrase),no native conditioning reported,no,NOT_REPORTED,NOT_REPORTED,GPT-Neo positional embeddings are standard/configurable in principle,none found this session,"SELFIES representation avoids invalid-branch/ring-closure syntax errors that plague raw SMILES at length, a structural advantage for long molecules (general SELFIES property, not ChemGPT-specific benchmark)","UNKNOWN - not benchmarked on natural products/saponins; PubChem10M is general chemical space, not NP-enriched",same positional-embedding extension risk as any fixed-context transformer if saponin SELFIES exceed the trained context,UNCONFIRMED whether stereochemical SELFIES symbols were retained during PubChem->SELFIES conversion this session,"SELFIES CAN encode stereo symbols if present in source SMILES, but retention was not confirmed for THIS dataset/checkpoint",same caveat as tetrahedral,unconfirmed,NEEDS_LOCAL_VERIFICATION,none reported,NOT_REPORTED,UNKNOWN pending local verification of the actual SELFIES vocabulary used,no (PubChem general space),none directly,none directly,only via further fine-tuning,only via further fine-tuning,"yes, substantial",medium (interesting as a SELFIES-representation validity-oriented baseline per the project's own benchmark-plan requirement),"medium-high (HuggingFace-hosted, org-adjacent release)",high per WebSearch (three sizes on HuggingFace) though not independently confirmed this session (site blocked),NOT_VERIFIED this session,low (4.7M) to substantial (1.2B),medium (SELFIES differs from this project's current SMILES-based REINVENT4 pipeline and from NPGPT's smiles-gpt variant),medium (SELFIES tokenization/decoding pipeline is a new dependency),medium,BASELINE (validity-oriented SELFIES comparison baseline),"WebSearch paraphrase: 'ChemGPT is pre-trained on up to 10 million molecules (300 million tokens) from PubChem, with performance improvements seen for models up to one billion non-embedding parameters.'",WebSearch synthesis (HuggingFace model cards could not be fetched directly - EGRESS_BLOCKED),search_engine_synthesis,https://huggingface.co/ncfrey/ChemGPT-4.7M,2026-08-18,medium,"Recommended role is specifically as the project's SELFIES validity-oriented baseline (required by section 10/F of the task spec), not as the primary line, given zero natural-product signal in pretraining and unconfirmed stereo-symbol retention."
