title,authors,year,journal_or_preprint_server,DOI,paper_url,legal_fulltext_url,access_status,source_type,relevance_tags,notes
Molecular de-novo design through deep reinforcement learning,"Olivecrona M, Blaschke T, Engkvist O, Chen H",2017,Journal of Cheminformatics / arXiv,NOT_VERIFIED_THIS_SESSION,https://arxiv.org/abs/1704.07555,blocked this session (EGRESS_BLOCKED_THIS_SESSION),OPEN_ACCESS (blocked this session),peer-reviewed + preprint,REINVENT;RL;augmented-likelihood;prior-regularization,Foundational RL+prior method underlying REINVENT lineage used by this project.
Generating focused molecule libraries for drug discovery with recurrent neural networks,"Segler MHS, Kogej T, Tyrchan C, Waller MP",2018,ACS Central Science / arXiv,NOT_VERIFIED_THIS_SESSION,https://arxiv.org/abs/1701.01329,blocked this session (EGRESS_BLOCKED_THIS_SESSION),OPEN_ACCESS (blocked this session),peer-reviewed + preprint,transfer-learning;fine-tuning;focused-libraries,Methodological ancestor of this project's tl_46k_reg.toml transfer-learning approach.
REINVENT 4: Modern AI-driven generative molecule design,"Loeffler HH, He J, Tibo A, Janet JP, Voronov A, Mervin LH, Engkvist O",2024,Journal of Cheminformatics,NOT_VERIFIED_THIS_SESSION,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-024-00812-5,blocked this session (EGRESS_BLOCKED_THIS_SESSION),OPEN_ACCESS (blocked this session),peer-reviewed,REINVENT4;Reinvent;Libinvent;Linkinvent;Mol2Mol;primary-pipeline,"Primary paper for the framework this repository already uses (priors/, configs/tl, configs/sampling)."
Generative molecular design in low data regimes,"Moret M, Friedrich L, Grisoni F, Merk D, Schneider G",2020,Nature Machine Intelligence,NOT_VERIFIED_THIS_SESSION,https://www.nature.com/articles/s42256-020-0160-y,blocked this session (EGRESS_BLOCKED_THIS_SESSION),PAYWALLED_NO_LEGAL_FULLTEXT_FOUND this session (code open on GitHub: ETHmodlab/virtual_libraries),peer-reviewed,low-data-transfer-learning;natural-products;ChEMBL-to-MEGx,Strongest precedent for PubChem/ChEMBL-to-natural-product transfer learning under data scarcity.
NPGPT: natural product-like compound generation with GPT-based chemical language models,"Sakano K, Furui K, Ohue M",2024/2025,arXiv / Journal of Supercomputing,NOT_VERIFIED_THIS_SESSION,https://arxiv.org/abs/2411.12886,blocked this session (EGRESS_BLOCKED_THIS_SESSION); code README directly read via github.com/ohuelab/npgpt,OPEN_ACCESS paper (blocked this session); OPEN_CODE (verified),preprint + code repo (directly fetched),NPGPT;natural-product-generator;COCONUT;smiles-gpt;ChemGPT,Closest published natural-product generator identified; already named in this project's own scope as under consideration.
67 million natural product-like compound database generated via molecular language processing,(A*STAR-affiliated authors; exact list NOT_VERIFIED_THIS_SESSION),2023,Scientific Data (Nature),NOT_VERIFIED_THIS_SESSION,https://www.nature.com/articles/s41597-023-02207-x,blocked this session (EGRESS_BLOCKED_THIS_SESSION),OPEN_ACCESS (blocked this session),peer-reviewed,natural-product-generator;COCONUT;stereochemistry-removed;LSTM;cautionary-example,"Key negative example: stereochemistry explicitly stripped before training, despite NP focus and scale."
Pretraining a Foundation Model for Small-Molecule Natural Products (NaFM),Ding et al. (exact list NOT_VERIFIED_THIS_SESSION),"2025 (preprint) / 2026 (possible journal version, relationship to Guo/Rava/Walker Nat Mach Intell paper NOT_VERIFIED_THIS_SESSION)",arXiv,NOT_VERIFIED_THIS_SESSION,https://arxiv.org/abs/2503.17656,blocked this session (EGRESS_BLOCKED_THIS_SESSION),OPEN_ACCESS (blocked this session),preprint,natural-product-foundation-model;graph;masked-contrastive-learning;generative-status-unconfirmed,Generative capability NOT confirmed this session - flagged FUTURE_WORK pending verification.
Learning the chemical language of natural products,"Guo X, Rava CM, Walker AS",2026,Nature Machine Intelligence,NOT_VERIFIED_THIS_SESSION,https://www.nature.com/articles/s42256-026-01241-9,blocked this session (EGRESS_BLOCKED_THIS_SESSION),PAYWALLED_NO_LEGAL_FULLTEXT_FOUND this session,peer-reviewed,natural-product-language-model;review-adjacent,"Relationship to the NaFM arXiv preprint above is NOT confirmed this session (may be the same work, a related work, or independent)."
Chemical language models for natural product discovery,(exact author list NOT_VERIFIED_THIS_SESSION),2026,Natural Product Reports (RSC),NOT_VERIFIED_THIS_SESSION,https://pubs.rsc.org/np/article/doi/10.1039/d6np00002a,blocked this session (EGRESS_BLOCKED_THIS_SESSION),PAYWALLED_NO_LEGAL_FULLTEXT_FOUND this session (RSC NPR is typically subscription-gated with some OA articles; status NOT_VERIFIED),review (peer-reviewed),review;natural-product-CLM;survey,"Recent (2026) domain review; recommended as the first read once network/local access is available, to catch any candidates missed this session."
MolGPT: Molecular Generation Using a Transformer-Decoder Model,"Bagal V, Aggarwal R, Vinod PK, Priyakumar UD",2022,Journal of Chemical Information and Modeling,NOT_VERIFIED_THIS_SESSION,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00600,blocked this session (EGRESS_BLOCKED_THIS_SESSION),PAYWALLED_NO_LEGAL_FULLTEXT_FOUND this session,peer-reviewed,MolGPT;conditional-generation;scaffold-conditioning;property-conditioning,Design reference for scaffold/property conditioning; pretraining scale (drug-like) mismatched to saponins.
